image,grains,coverage,seconds
cropped_prac7_etched_011.tif,195,0.627,40.4
cropped_prac7_etched_012.tif,183,0.616,40.2
cropped_prac7_etched_013.tif,197,0.66,39.4
cropped_prac7_etched_014.tif,217,0.697,40.5
cropped_prac7_etched_015.tif,169,0.56,39.6
cropped_prac7_etched_016.tif,191,0.61,42.9
cropped_prac7_etched_017.tif,207,0.729,46.6
cropped_prac7_etched_018.tif,203,0.676,58.4
cropped_prac7_etched_019.tif,208,0.679,45.8
cropped_prac7_etched_020.tif,192,0.679,48.3
cropped_prac7_etched_021.tif,157,0.584,45.4
cropped_prac7_etched_022.tif,237,0.769,47.8
cropped_prac7_etched_023.tif,264,0.828,54.9
cropped_prac7_etched_024.tif,285,0.841,66.1
cropped_prac7_etched_025.tif,242,0.803,52.8
cropped_prac7_etched_026.tif,251,0.741,70.5
cropped_prac7_etched_027.tif,256,0.798,129.6
cropped_prac7_etched_028.tif,213,0.721,43.0
cropped_prac7_etched_029.tif,252,0.782,55.0
cropped_prac7_etched_030.tif,251,0.775,59.4
cropped_prac7_etched_031.tif,258,0.811,56.5
cropped_prac7_etched_032.tif,243,0.796,54.3
cropped_prac7_etched_033.tif,245,0.777,96.3
cropped_prac7_etched_034.tif,260,0.77,50.0
cropped_prac7_etched_035.tif,237,0.754,49.7
cropped_prac7_etched_036.tif,249,0.783,81.6
cropped_prac7_etched_037.tif,241,0.788,60.4
cropped_prac7_etched_038.tif,245,0.786,57.4
cropped_prac7_etched_039.tif,249,0.779,52.4
cropped_prac7_etched_040.tif,241,0.728,54.0
cropped_prac7_etched_041.tif,240,0.751,214.9
cropped_prac7_etched_042.tif,234,0.72,116.7
cropped_prac7_etched_043.tif,249,0.737,45.8
cropped_prac7_etched_044.tif,228,0.746,97.3
cropped_prac7_etched_045.tif,268,0.831,172.5
cropped_prac7_etched_046.tif,254,0.798,83.3
cropped_prac7_etched_047.tif,212,0.741,102.1
cropped_prac7_etched_048.tif,220,0.767,71.0
cropped_prac7_etched_049.tif,228,0.74,61.0
cropped_prac7_etched_050.tif,249,0.774,50.2
cropped_prac7_etched_051.tif,244,0.809,61.6
cropped_prac7_etched_052.tif,241,0.733,57.6
cropped_prac7_etched_053.tif,248,0.77,66.1
cropped_prac7_etched_054.tif,276,0.815,143.8
cropped_prac7_etched_055.tif,265,0.808,79.6
cropped_prac7_etched_056.tif,254,0.777,63.5
cropped_prac7_etched_057.tif,254,0.771,55.2
cropped_prac7_etched_058.tif,242,0.814,111.4
cropped_prac7_etched_059.tif,255,0.795,52.2
cropped_prac7_etched_060.tif,259,0.779,51.3
cropped_prac7_etched_061.tif,258,0.802,61.0
cropped_prac7_etched_062.tif,208,0.682,51.6
cropped_prac7_etched_063.tif,231,0.733,48.9
cropped_prac7_etched_064.tif,265,0.77,54.2
cropped_prac7_etched_065.tif,278,0.837,271.4
cropped_prac7_etched_066.tif,277,0.789,78.0
cropped_prac7_etched_067.tif,278,0.847,269.9
cropped_prac7_etched_068.tif,251,0.753,52.1
cropped_prac7_etched_069.tif,281,0.809,68.2
cropped_prac7_etched_070.tif,289,0.846,60.9
cropped_prac7_etched_071.tif,270,0.861,83.4
cropped_prac7_etched_072.tif,290,0.855,60.6
cropped_prac7_etched_073.tif,263,0.795,56.9
cropped_prac7_etched_074.tif,248,0.757,165.6
cropped_prac7_etched_075.tif,244,0.751,48.2
cropped_prac7_etched_076.tif,256,0.778,93.3
cropped_prac7_etched_077.tif,238,0.763,69.4
cropped_prac7_etched_078.tif,266,0.751,56.2
cropped_prac7_etched_079.tif,265,0.778,55.2
cropped_prac7_etched_080.tif,243,0.729,55.5
cropped_prac7_etched_081.tif,286,0.852,204.2
cropped_prac7_etched_082.tif,265,0.773,137.3
cropped_prac7_etched_083.tif,285,0.79,183.8
cropped_prac7_etched_084.tif,260,0.848,126.2
cropped_prac7_etched_085.tif,243,0.773,134.9
cropped_prac7_etched_086.tif,281,0.821,51.9
cropped_prac7_etched_087.tif,265,0.794,106.5
cropped_prac7_etched_088.tif,267,0.84,109.2
cropped_prac7_etched_089.tif,269,0.788,139.2
cropped_prac7_etched_090.tif,272,0.764,194.0
cropped_prac7_etched_091.tif,268,0.811,75.7
cropped_prac7_etched_092.tif,234,0.738,50.1
cropped_prac7_etched_093.tif,263,0.79,77.7
cropped_prac7_etched_094.tif,245,0.737,63.0
cropped_prac7_etched_095.tif,288,0.844,101.1
cropped_prac7_etched_096.tif,248,0.813,62.7
cropped_prac7_etched_097.tif,275,0.825,62.5
cropped_prac7_etched_098.tif,278,0.86,107.7
cropped_prac7_etched_099.tif,247,0.798,65.5
